balls,strikes,outs,is_first_base,is_second_base,is_third_base,total_runs,count,average_runs,0 runs,1 runs,2 runs,3 runs,4 runs,5 runs,6 runs,7 runs,8 runs,9 runs,10 runs,11 runs,12 runs,13 runs
1,1,1,True,True,True,713,470,1.5170212765957447,174,122,59,33,50,19,12,1,0,0,0,0,0,0
1,1,2,False,False,False,957,9816,0.09749388753056235,9168,437,141,47,18,5,0,0,0,0,0,0,0,0
1,1,2,False,False,True,326,868,0.37557603686635943,649,150,45,17,3,2,1,1,0,0,0,0,0,0
1,1,2,False,True,False,742,2205,0.33650793650793653,1733,303,104,41,16,5,2,1,0,0,0,0,0,0
1,1,2,False,True,True,390,601,0.64891846921797,432,32,82,37,11,3,4,0,0,0,0,0,0,0
1,1,2,True,False,False,860,4315,0.1993047508690614,3840,209,178,62,21,5,0,0,0,0,0,0,0,0
1,1,2,True,False,True,409,879,0.4653014789533561,654,117,61,27,13,5,2,0,0,0,0,0,0,0
1,1,2,True,True,False,755,1837,0.4109961894393032,1467,167,77,83,34,6,2,1,0,0,0,0,0,0
1,1,2,True,True,True,498,618,0.8058252427184466,409,68,60,34,32,10,5,0,0,0,0,0,0,0
1,2,0,False,False,False,6785,16186,0.41918942295811196,12438,2019,954,457,190,77,28,14,5,4,0,0,0,0
1,2,0,False,False,True,182,146,1.2465753424657535,29,74,29,8,4,2,0,0,0,0,0,0,0,0
1,2,0,False,True,False,956,938,1.019189765458422,407,281,138,78,17,9,4,4,0,0,0,0,0,0
1,2,0,False,True,True,391,196,1.9948979591836735,32,50,55,32,13,8,4,0,1,0,0,1,0,0
1,2,0,True,False,False,2678,3291,0.8137344272257673,2061,454,393,217,96,41,14,9,4,1,1,0,0,0
1,2,0,True,False,True,375,232,1.6163793103448276,30,104,46,39,8,1,3,1,0,0,0,0,0,0
1,2,0,True,True,False,1077,780,1.3807692307692307,339,147,126,78,46,27,2,8,6,1,0,0,0,0
1,2,0,True,True,True,418,192,2.1770833333333335,20,66,32,26,33,13,1,1,0,0,0,0,0,0
1,2,1,False,False,False,2589,11863,0.2182415915029925,10300,933,379,160,54,26,6,4,1,0,0,0,0,0
1,2,1,False,False,True,336,435,0.7724137931034483,189,191,32,16,4,2,0,1,0,0,0,0,0,0
1,2,1,False,True,False,1000,1658,0.6031363088057901,1075,343,140,55,25,11,7,1,1,0,0,0,0,0
1,2,1,False,True,True,501,431,1.1624129930394431,170,108,99,33,15,2,3,0,1,0,0,0,0,0
1,2,1,True,False,False,1896,3969,0.47770219198790626,3044,373,296,153,69,19,5,9,1,0,0,0,0,0
1,2,1,True,False,True,586,548,1.0693430656934306,230,182,60,42,17,12,5,0,0,0,0,0,0,0
1,2,1,True,True,False,1110,1399,0.7934238741958541,895,200,122,106,48,17,8,1,2,0,0,0,0,0
1,2,1,True,True,True,667,453,1.4724061810154525,180,106,59,34,41,24,7,1,1,0,0,0,0,0
1,2,2,False,False,False,765,9461,0.08085826022619173,8951,339,113,37,16,5,0,0,0,0,0,0,0,0
1,2,2,False,False,True,237,838,0.2828162291169451,678,115,26,14,1,1,2,1,0,0,0,0,0,0
1,2,2,False,True,False,540,2292,0.2356020942408377,1930,251,67,29,9,5,0,1,0,0,0,0,0,0
1,2,2,False,True,True,315,648,0.4861111111111111,505,32,69,33,3,3,2,1,0,0,0,0,0,0
1,2,2,True,False,False,720,4022,0.1790154152163103,3626,168,153,56,17,2,0,0,0,0,0,0,0,0
1,2,2,True,False,True,250,694,0.36023054755043227,555,70,39,22,6,0,2,0,0,0,0,0,0,0
1,2,2,True,True,False,507,1828,0.2773522975929978,1564,131,58,45,27,1,2,0,0,0,0,0,0,0
1,2,2,True,True,True,393,599,0.656093489148581,434,50,51,29,23,10,2,0,0,0,0,0,0,0
2,0,0,False,False,False,2688,4719,0.5696122059758424,3319,695,376,180,81,44,16,6,0,1,1,0,0,0
2,0,0,False,False,True,47,32,1.46875,8,12,3,7,2,0,0,0,0,0,0,0,0,0
2,0,0,False,True,False,428,344,1.244186046511628,128,114,47,28,14,5,3,3,2,0,0,0,0,0
2,0,0,False,True,True,119,60,1.9833333333333334,8,16,19,9,3,4,1,0,0,0,0,0,0,0
2,0,0,True,False,False,1173,1133,1.0353045013239188,599,207,156,80,58,24,6,0,1,2,0,0,0,0
2,0,0,True,False,True,184,88,2.090909090909091,15,25,18,14,7,5,2,1,0,1,0,0,0,0
2,0,0,True,True,False,445,270,1.6481481481481481,78,71,45,39,25,6,5,1,0,0,0,0,0,0
2,0,0,True,True,True,167,68,2.4558823529411766,11,15,15,7,9,4,4,3,0,0,0,0,0,0
