balls,strikes,outs,is_first_base,is_second_base,is_third_base,run_value
2,0,0,False,False,False,0.18705221888058443
2,0,0,False,False,True,0.041269841269841345
2,0,0,False,True,False,0.2034720038049358
2,0,0,False,True,True,0.43222222222222206
2,0,0,True,False,False,0.22137149998595784
2,0,0,True,False,True,0.36071987480438183
2,0,0,True,True,False,0.46801465860871816
2,0,0,True,True,True,0.1393264922676689
2,0,1,False,False,False,0.12347821265246756
2,0,1,False,False,True,0.16624265135627603
2,0,1,False,True,False,0.18473094692059688
2,0,1,False,True,True,0.13844791793869815
2,0,1,True,False,False,0.26429176591892956
2,0,1,True,False,True,0.47658457080767835
2,0,1,True,True,False,0.4530891564073707
2,0,1,True,True,True,0.47742401798939893
2,0,2,False,False,False,0.058928839157681545
2,0,2,False,False,True,0.1362708935836479
2,0,2,False,True,False,0.09994940913690081
2,0,2,False,True,True,0.2172655357747728
2,0,2,True,False,False,0.15025774148486032
2,0,2,True,False,True,0.2974922213203463
2,0,2,True,True,False,0.32806665858950773
2,0,2,True,True,True,0.43659198481092487
2,1,0,False,False,False,0.19623290130084692
2,1,0,False,False,True,-0.01793422404933187
2,1,0,False,True,False,0.25672969441716287
2,1,0,False,True,True,0.17950061994092903
2,1,0,True,False,False,0.21567872769194452
2,1,0,True,False,True,0.3605503844597331
2,1,0,True,True,False,0.5005107220293523
2,1,0,True,True,True,0.49692148045658957
2,1,1,False,False,False,0.1325147499989245
2,1,1,False,False,True,0.09141775487400139
2,1,1,False,True,False,0.2103659702481867
2,1,1,False,True,True,0.2310465921849989
2,1,1,True,False,False,0.22908313591014717
2,1,1,True,False,True,0.48105605374256566
2,1,1,True,True,False,0.33719897794786546
2,1,1,True,True,True,0.3938977022247838
2,1,2,False,False,False,0.07526772626428903
2,1,2,False,False,True,0.15539737349913224
2,1,2,False,True,False,0.1586853300771528
2,1,2,False,True,True,0.17911075517247343
2,1,2,True,False,False,0.11108939652424804
2,1,2,True,False,True,0.21817277612898045
2,1,2,True,True,False,0.2501855830769975
2,1,2,True,True,True,0.3955020037019068
2,2,0,False,False,False,0.30393749047279234
2,2,0,False,False,True,0.5114639596644696
2,2,0,False,True,False,0.4677316729765154
2,2,0,False,True,True,0.5260040664919852
2,2,0,True,False,False,0.509038746588234
2,2,0,True,False,True,0.6659707061485334
2,2,0,True,True,False,0.7554036750009558
2,2,0,True,True,True,0.914624098219396
2,2,1,False,False,False,0.21669918280865422
2,2,1,False,False,True,0.5813265893380646
2,2,1,False,True,False,0.39648299922042135
2,2,1,False,True,True,0.7651307833750228
2,2,1,True,False,False,0.3733628207684926
2,2,1,True,False,True,0.6518231589018524
2,2,1,True,True,False,0.5806164227663033
2,2,1,True,True,True,1.0437697511746657
2,2,2,False,False,False,0.13679444612134017
2,2,2,False,False,True,0.35303514376996803
2,2,2,False,True,False,0.32473695069114916
2,2,2,False,True,True,0.5090060040026685
2,2,2,True,False,False,0.26242058967258514
2,2,2,True,False,True,0.5080168776371308
2,2,2,True,True,False,0.4945582586427657
2,2,2,True,True,True,0.9522091974752029
3,0,0,False,False,False,0.23506001510263186
3,0,0,False,False,True,0.35711249775098364
3,0,0,False,True,False,0.1784640602144847
3,0,0,False,True,True,0.2924325498072853
3,0,0,True,False,False,0.4271698276522151
3,0,0,True,False,True,0.23058977719528162
3,0,0,True,True,False,0.4761279376649492
3,0,0,True,True,True,0.7301816139299757
3,0,1,False,False,False,0.1502699164724683
